Reference;Qty;Value;DNP;Exclude from BOM;Exclude from Board;Footprint;Datasheet
C1,C4;2;100nF;;;;Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm;~
C2;1;220uF 16V;;;;Capacitor_THT:CP_Radial_D6.3mm_P2.50mm;~
C3;1;100uF 10V;;;;Capacitor_THT:CP_Radial_D5.0mm_P2.00mm;~
D1;1;1N4148;;;;Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal;https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf
D2,D3;2;3.3V;;;;Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal;https://industrial.panasonic.com/content/data/SC/ds/ds4/DZ2S03300L_E.pdf
D4;1;1N4007;;;;Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal;http://www.vishay.com/docs/88503/1n4001.pdf
H1,H2,H3,H4;4;MountingHole_Pad;;Escluso dalla DIBA;;MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom;~
J1;1;I2C Bus;;;;Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical;~
J2;1;Band;;;;Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical;~
J3;1;Mode;;;;Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical;~
J4;1;AGC;;;;Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical;~
J5;1;ATT;;;;Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical;~
J6;1;BFO;;;;Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical;~
J7;1;TX;;;;Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical;~
J8;1;IN RTTY;;;;Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical;~
J9;1;IN S_meter;;;;Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical;~
J10;1;VIN +12V;;;;Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical;~
J11;1;GND +5V +9V +12;;;;Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical;~
J12;1;VFO_Front_Pannel;;;;Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical;~
M1;1;Si5351A module;;;;-Periferial_Module:si5351a_Module;
R1,R3;2;1K;;;;Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;~
RN1;1;10Kx8;;;;Resistor_THT:R_Array_SIP9;http://www.vishay.com/docs/31509/csc.pdf
U1;1;ESP32-DEVKITC-32D;;;;-ESP32_Module:MODULE_ESP32-DEVKITC-32D;
U2;1;PCF8574AP;;;;Package_DIP:DIP-16_W7.62mm;http://www.nxp.com/docs/en/data-sheet/PCF8574_PCF8574A.pdf
U3;1;LM7809;;;;Package_TO_SOT_THT:TO-220-3_Vertical;https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF
U4;1;LM7805;;;;Package_TO_SOT_THT:TO-220-3_Vertical;https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF
U5;1;24LC32;;;;Package_DIP:DIP-8_W7.62mm;http://ww1.microchip.com/downloads/en/DeviceDoc/21072G.pdf
